"","month","year","count","treatment","reproductive","proportion"
"136",6,2004,4,"control",1,0.25
"137",7,1998,4,"control",1,0.25
"138",7,2005,4,"control",1,0.25
"139",11,2006,4,"control",1,0.25
"140",5,2003,19,"control",5,0.263157894736842
"141",3,2007,11,"control",3,0.272727272727273
"142",2,2000,7,"control",2,0.285714285714286
"143",5,2002,10,"control",3,0.3
"144",11,2002,10,"control",3,0.3
"145",3,1998,3,"control",1,0.333333333333333
"146",3,2000,6,"control",2,0.333333333333333
"147",4,2009,3,"control",1,0.333333333333333
"148",5,2005,3,"control",1,0.333333333333333
"149",10,2006,3,"control",1,0.333333333333333
"150",4,2007,10,"control",4,0.4
"151",7,2000,14,"control",6,0.428571428571429
"152",10,2002,7,"control",3,0.428571428571429
"153",4,2002,2,"control",1,0.5
"154",4,2006,2,"control",1,0.5
"155",6,2009,4,"control",2,0.5
"156",6,2012,2,"control",1,0.5
"157",7,2001,2,"control",1,0.5
"158",7,2006,4,"control",2,0.5
"159",8,2000,4,"control",2,0.5
"160",11,2014,2,"control",1,0.5
"161",2,2015,1,"control",1,1
"162",6,2015,1,"control",1,1
"163",8,2006,1,"control",1,1
"164",9,1999,1,"control",1,1
"165",1,1999,9,"exclosure",0,0
"166",1,2001,6,"exclosure",0,0
"167",1,2002,7,"exclosure",0,0
"168",1,2004,10,"exclosure",0,0
"169",1,2005,7,"exclosure",0,0
"170",1,2006,18,"exclosure",0,0
"171",1,2007,11,"exclosure",0,0
"172",1,2008,11,"exclosure",0,0
"173",1,2009,5,"exclosure",0,0
"174",1,2013,2,"exclosure",0,0
"175",1,2015,3,"exclosure",0,0
"176",1,2017,1,"exclosure",0,0
"177",1,2018,2,"exclosure",0,0
"178",2,1997,2,"exclosure",0,0
"179",2,1998,1,"exclosure",0,0
"180",2,1999,7,"exclosure",0,0
"181",2,2003,28,"exclosure",0,0
"182",2,2004,9,"exclosure",0,0
"183",2,2008,11,"exclosure",0,0
"184",2,2009,3,"exclosure",0,0
"185",2,2013,1,"exclosure",0,0
"186",2,2014,1,"exclosure",0,0
"187",2,2019,1,"exclosure",0,0
"188",3,1999,6,"exclosure",0,0
"189",3,2004,9,"exclosure",0,0
"190",3,2006,23,"exclosure",0,0
"191",3,2008,12,"exclosure",0,0
"192",3,2010,2,"exclosure",0,0
"193",3,2013,1,"exclosure",0,0
"194",3,2018,3,"exclosure",0,0
"195",3,2019,1,"exclosure",0,0
