"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"4062",249,"11","Nov",21,1998,17,13,"control","DM","M",NA,NA,NA,NA,NA,"R",34,44,"189"
"4063",249,"11","Nov",21,1998,21,35,"exclosure","DM","M",NA,NA,NA,NA,NA,"R",36,47,"147"
"4064",249,"11","Nov",22,1998,4,52,"control","DM","M",NA,NA,NA,NA,NA,"R",36,48,"8100DM"
"4065",249,"11","Nov",22,1998,13,16,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",36,48,"151"
"4066",250,"12","Dec",22,1998,2,63,"control","DM","M",NA,NA,NA,NA,NA,"R",36,47,"0111DM"
"4067",250,"12","Dec",22,1998,17,22,"control","DM","M",NA,NA,NA,NA,NA,"R",36,46,"189"
"4068",250,"12","Dec",22,1998,22,15,"control","DM","M",NA,NA,NA,NA,NA,"R",37,44,"7031DM"
"4069",250,"12","Dec",23,1998,11,72,"control","DM","M",NA,NA,NA,NA,NA,"R",37,41,"98"
"4070",250,"12","Dec",23,1998,9,12,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",37,55,"7100DM"
"4071",250,"12","Dec",23,1998,13,31,"exclosure","DM","M",NA,NA,NA,NA,NA,"R",37,49,"151"
"4072",251,"1","Jan",16,1999,1,71,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,52,"8002DM"
"4073",251,"1","Jan",16,1999,12,75,"control","DM","M",NA,NA,NA,NA,NA,"S",36,38,"194"
"4074",251,"1","Jan",16,1999,12,72,"control","DM","M",NA,NA,NA,NA,NA,"R",37,46,"498"
"4075",251,"1","Jan",16,1999,12,57,"control","DM","M",NA,NA,NA,NA,NA,"M",36,39,"193"
"4076",251,"1","Jan",16,1999,17,64,"control","DM","M",NA,NA,NA,NA,NA,"R",35,46,"5000DM"
"4077",251,"1","Jan",16,1999,22,23,"control","DM","M",NA,NA,NA,NA,NA,"R",37,48,"7031DM"
"4078",251,"1","Jan",17,1999,4,13,"control","DM","M",NA,NA,NA,NA,NA,"R",37,45,"9"
"4079",251,"1","Jan",17,1999,9,63,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,53,"8010DM"
"4080",252,"2","Feb",20,1999,1,51,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,51,"8002DM"
"4081",252,"2","Feb",20,1999,12,73,"control","DM","M",NA,NA,NA,NA,NA,"R",37,47,"498"
"4082",252,"2","Feb",20,1999,17,14,"control","DM","M",NA,NA,NA,NA,NA,"S",37,47,"402"
"4083",252,"2","Feb",20,1999,17,21,"control","DM","M",NA,NA,NA,NA,NA,"S",36,39,"425"
"4084",252,"2","Feb",20,1999,21,24,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",36,47,NA
"4085",252,"2","Feb",21,1999,4,55,"control","DM","M",NA,NA,NA,NA,NA,"M",35,45,"405"
"4086",252,"2","Feb",21,1999,11,27,"control","DM","M",NA,NA,NA,NA,NA,"S",37,40,"98"
"4087",252,"2","Feb",21,1999,9,74,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",36,49,"8010DM"
"4088",252,"2","Feb",21,1999,8,37,"control","DM","M",NA,NA,NA,NA,NA,"S",36,42,"119"
"4089",252,"2","Feb",21,1999,13,71,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",36,54,NA
"4090",252,"2","Feb",21,1999,13,46,"exclosure","DM","M",NA,NA,NA,NA,NA,"S",37,53,"448"
"4091",253,"3","Mar",14,1999,2,44,"control","DM","M",NA,NA,NA,NA,NA,"R",36,51,"0111DM"
"4092",253,"3","Mar",14,1999,17,22,"control","DM","M",NA,NA,NA,NA,NA,"R",36,43,"425"
"4093",253,"3","Mar",14,1999,21,77,"exclosure","DM","M",NA,NA,NA,NA,NA,"R",35,48,"0100DM"
"4094",253,"3","Mar",14,1999,22,77,"control","DM","M",NA,NA,NA,NA,NA,"S",37,50,"480"
"4095",253,"3","Mar",15,1999,4,32,"control","DM","M",NA,NA,NA,NA,NA,"R",34,50,"8113DM"
"4096",253,"3","Mar",15,1999,4,52,"control","DM","M",NA,NA,NA,NA,NA,"S",35,45,"405"
"4097",254,"4","Apr",17,1999,2,15,"control","DM","M",NA,NA,NA,NA,NA,"R",37,48,"0111DM"
