"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"2091",113,"7","Jul",26,1987,2,17,"control","NA","M",NA,NA,NA,NA,NA,"S",NA,269,"6456"
"2092",117,"11","Nov",21,1987,22,73,"control","NA","M",NA,NA,NA,NA,NA,"R",32,153,"7013"
"2093",117,"11","Nov",22,1987,13,51,"control","NA","M",NA,NA,NA,NA,NA,"S",33,150,"7141"
"2094",118,"1","Jan",24,1988,13,61,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",35,162,"7141"
"2095",119,"2","Feb",22,1988,9,32,"spectabs","NA","M",NA,NA,NA,NA,NA,"S",34,200,"7760"
"2096",120,"3","Mar",20,1988,22,63,"control","NA","M",NA,NA,NA,NA,NA,"M",34,176,"7013"
"2097",124,"7","Jul",15,1988,15,17,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",34,180,"7858"
"2098",125,"8","Aug",9,1988,1,46,"spectabs","NA","M",NA,NA,NA,NA,NA,"S",33,207,"8508"
"2099",132,"3","Mar",12,1989,12,24,"control","NA","M",NA,NA,NA,NA,NA,"S",34,249,"7149"
"2100",133,"4","Apr",1,1989,3,21,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",33,196,"8531"
"2101",138,"9","Sept",4,1989,3,21,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",34,208,"8531"
"2102",145,"3","Mar",30,1990,15,24,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",34,243,"7153"
"2103",158,"4","Apr",19,1991,12,23,"control","NA","M",NA,NA,NA,NA,NA,"S",34,146,"1701"
"2104",162,"8","Aug",7,1991,2,71,"control","NA","M",NA,NA,NA,NA,NA,"R",32,178,"1794"
"2105",192,"2","Feb",21,1994,3,23,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",35,171,"4E150D"
"2106",194,"4","Apr",10,1994,2,71,"control","NA","M",NA,NA,NA,NA,NA,"S",NA,180,"3C5FA6"
"2107",198,"8","Aug",18,1994,3,23,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",35,183,"1F4C6C"
"2108",224,"9","Sept",21,1996,12,22,"control","NA","M",NA,NA,NA,NA,NA,"R",32,184,"160A36"
"2109",261,"1","Jan",8,2000,2,73,"control","NA","M",NA,NA,NA,NA,NA,"S",34,265,"597"
"2110",288,"5","May",15,2002,17,75,"control","NA","M",NA,NA,NA,NA,NA,"M",31,169,"669"
"2111",289,"6","Jun",16,2002,14,55,"control","NA","M",NA,NA,NA,NA,NA,"M",31,203,"660"
"2112",291,"9","Sept",8,2002,17,62,"control","NA","M",NA,NA,NA,NA,NA,"M",32,162,"711"
"2113",292,"10","Oct",5,2002,2,45,"control","NA","M",NA,NA,NA,NA,NA,"M",36,226,"715"
"2114",293,"11","Nov",9,2002,2,46,"control","NA","M",NA,NA,NA,NA,NA,"M",33,238,"715"
"2115",294,"12","Dec",7,2002,2,57,"control","NA","M",NA,NA,NA,NA,NA,"M",33,248,"715"
"2116",300,"5","May",28,2003,20,12,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",33,234,"1B434F"
"2117",351,"8","Aug",11,2007,12,31,"control","NA","M",NA,NA,NA,NA,NA,"S",31,214,"4A3D3A"
"2118",353,"10","Oct",13,2007,12,31,"control","NA","M",NA,NA,NA,NA,NA,"M",34,220,"4A3D3A"
"2119",353,"10","Oct",14,2007,6,64,"exclosure","NA","M",NA,NA,NA,NA,NA,"R",35,258,"922"
"2120",353,"10","Oct",14,2007,11,27,"control","NA","M",NA,NA,NA,NA,NA,"R",34,186,"921"
"2121",377,"9","Sept",19,2009,1,47,"control","NA","M",NA,NA,NA,NA,NA,"M",32,225,"000956"
"2122",451,"7","Jul",2,2016,18,57,"control","NA","M",NA,NA,NA,NA,NA,"S",31,189,"B2B1DD"
"2123",455,"11","Nov",6,2016,2,47,"exclosure","NA","M",NA,NA,NA,NA,NA,"S",33,223,"B2D518"
"2124",457,"1","Jan",8,2017,18,47,"control","NA","M",NA,NA,NA,NA,NA,"S",32,215,"B2CE1C"
"2125",463,"6","Jun",24,2017,18,57,"control","NA","M",NA,NA,NA,NA,NA,"S",32,219,"B2CE1C"
"2126",5,"11","Nov",14,1977,5,35,"control","DS","M",NA,NA,NA,NA,NA,"S",53,137,"4848"
"2127",6,"12","Dec",10,1977,20,67,"control","DS","M",NA,NA,NA,NA,NA,"S",51,116,"4896"
"2128",6,"12","Dec",11,1977,4,15,"control","DS","M",NA,NA,NA,NA,NA,"S",49,134,"4864"
"2129",6,"12","Dec",11,1977,11,45,"control","DS","M",NA,NA,NA,NA,NA,"S",52,127,"4544"
"2130",6,"12","Dec",11,1977,11,64,"control","DS","M",NA,NA,NA,NA,NA,"S",48,138,"4861"
"2131",7,"1","Jan",9,1978,11,77,"control","DS","M",NA,NA,NA,NA,NA,"S",53,136,"4388"
"2132",9,"3","Mar",12,1978,4,16,"control","DS","M",NA,NA,NA,NA,NA,"S",49,131,"4864"
"2133",9,"3","Mar",12,1978,11,43,"control","DS","M",NA,NA,NA,NA,NA,"S",53,138,"4388"
"2134",9,"3","Mar",13,1978,8,11,"control","DS","M",NA,NA,NA,NA,NA,"S",49,152,"4543"
"2135",11,"5","May",18,1978,17,32,"control","DS","M",NA,NA,NA,NA,NA,"R",49,131,"4645"
"2136",11,"5","May",19,1978,1,27,"control","DS","M",NA,NA,NA,NA,NA,"S",52,160,"4428"
"2137",12,"6","Jun",8,1978,20,76,"control","DS","M",NA,NA,NA,NA,NA,"S",51,124,"4511"
"2138",12,"6","Jun",9,1978,4,16,"control","DS","M",NA,NA,NA,NA,NA,"S",50,122,"4864"
"2139",14,"8","Aug",5,1978,2,14,"control","DS","M",NA,NA,NA,NA,NA,"S",52,165,"4633"
"2140",14,"8","Aug",5,1978,5,34,"control","DS","M",NA,NA,NA,NA,NA,"S",53,137,"4848"
"2141",15,"9","Sept",3,1978,20,56,"control","DS","M",NA,NA,NA,NA,NA,"S",51,127,"4511"
"2142",16,"10","Oct",7,1978,20,34,"control","DS","M",NA,NA,NA,NA,NA,"S",52,131,"4511"
"2143",16,"10","Oct",7,1978,17,41,"control","DS","M",NA,NA,NA,NA,NA,"S",52,134,"4645"
"2144",18,"12","Dec",3,1978,4,57,"control","DS","M",NA,NA,NA,NA,NA,"S",51,118,"1580"
"2145",20,"2","Feb",25,1979,5,26,"control","DS","M",NA,NA,NA,NA,NA,"S",52,142,"4848"
"2146",21,"3","Mar",31,1979,5,26,"control","DS","M",NA,NA,NA,NA,NA,"S",54,142,"4848"
"2147",21,"3","Mar",31,1979,1,56,"control","DS","M",NA,NA,NA,NA,NA,"S",52,140,"1570"
"2148",21,"3","Mar",31,1979,4,77,"control","DS","M",NA,NA,NA,NA,NA,"S",51,129,"1580"
"2149",22,"4","Apr",28,1979,17,52,"control","DS","M",NA,NA,NA,NA,NA,"S",50,143,"4645"
"2150",23,"5","May",30,1979,1,66,"control","DS","M",NA,NA,NA,NA,NA,"S",51,132,"1570"
"2151",25,"7","Jul",24,1979,1,42,"control","DS","M",NA,NA,NA,NA,NA,"S",51,141,"4432"
"2152",27,"9","Sept",23,1979,4,37,"control","DS","M",NA,NA,NA,NA,NA,"S",47,129,"2015"
"2153",28,"10","Oct",24,1979,22,52,"control","DS","M",NA,NA,NA,NA,NA,"S",50,143,"1675"
"2154",29,"11","Nov",18,1979,11,13,"control","DS","M",NA,NA,NA,NA,NA,"S",49,134,"1762"
"2155",29,"11","Nov",18,1979,22,25,"control","DS","M",NA,NA,NA,NA,NA,"S",49,141,"1675"
"2156",32,"3","Mar",21,1980,17,43,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,160,"1791"
"2157",32,"3","Mar",21,1980,8,61,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,134,"2010"
"2158",33,"4","Apr",17,1980,8,12,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,135,"2010"
"2159",33,"4","Apr",17,1980,9,51,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,143,"2351"
"2160",33,"4","Apr",18,1980,18,34,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,135,"2002"
"2161",33,"4","Apr",18,1980,13,72,"control","DS","M",NA,NA,NA,NA,NA,"M",NA,104,"2220"
"2162",34,"5","May",17,1980,12,32,"control","DS","M",NA,NA,NA,NA,NA,"S",49,133,"1708"
"2163",34,"5","May",17,1980,9,41,"control","DS","M",NA,NA,NA,NA,NA,"S",52,144,"2351"
"2164",34,"5","May",17,1980,17,52,"control","DS","M",NA,NA,NA,NA,NA,"S",50,142,"4645"
"2165",34,"5","May",18,1980,6,51,"control","DS","M",NA,NA,NA,NA,NA,"S",52,138,"2426"
"2166",34,"5","May",18,1980,18,52,"control","DS","M",NA,NA,NA,NA,NA,"S",48,134,"2002"
"2167",35,"6","Jun",22,1980,18,41,"control","DS","M",NA,NA,NA,NA,NA,"S",50,136,"2002"
"2168",35,"6","Jun",22,1980,17,52,"control","DS","M",NA,NA,NA,NA,NA,"S",50,144,"4645"
"2169",35,"6","Jun",23,1980,4,35,"control","DS","M",NA,NA,NA,NA,NA,"S",50,124,"2015"
"2170",35,"6","Jun",23,1980,13,61,"control","DS","M",NA,NA,NA,NA,NA,"M",47,111,"2522"
"2171",36,"7","Jul",21,1980,17,41,"control","DS","M",NA,NA,NA,NA,NA,"S",51,143,"4645"
"2172",37,"8","Aug",13,1980,11,26,"control","DS","M",NA,NA,NA,NA,NA,"M",51,121,"2520"
"2173",37,"8","Aug",13,1980,8,51,"control","DS","M",NA,NA,NA,NA,NA,"S",53,134,"2010"
"2174",38,"9","Sept",7,1980,17,33,"control","DS","M",NA,NA,NA,NA,NA,"S",53,124,"2437"
"2175",38,"9","Sept",7,1980,8,62,"control","DS","M",NA,NA,NA,NA,NA,"M",54,134,"2010"
"2176",38,"9","Sept",8,1980,1,42,"control","DS","M",NA,NA,NA,NA,NA,"M",52,138,"2595"
"2177",39,"10","Oct",11,1980,22,17,"control","DS","M",NA,NA,NA,NA,NA,"M",47,128,"2420"
"2178",39,"10","Oct",11,1980,11,66,"control","DS","M",NA,NA,NA,NA,NA,"S",51,130,"2520"
"2179",39,"10","Oct",12,1980,18,21,"control","DS","M",NA,NA,NA,NA,NA,"S",51,140,"2002"
"2180",39,"10","Oct",12,1980,18,35,"control","DS","M",NA,NA,NA,NA,NA,"S",47,116,"2430"
"2181",39,"10","Oct",12,1980,4,47,"control","DS","M",NA,NA,NA,NA,NA,"S",50,137,"2015"
"2182",40,"11","Nov",8,1980,8,21,"control","DS","M",NA,NA,NA,NA,NA,"S",51,136,"2010"
"2183",40,"11","Nov",8,1980,1,33,"control","DS","M",NA,NA,NA,NA,NA,"S",52,154,"2595"
"2184",40,"11","Nov",8,1980,11,77,"control","DS","M",NA,NA,NA,NA,NA,"S",51,127,"2520"
"2185",40,"11","Nov",9,1980,4,26,"control","DS","M",NA,NA,NA,NA,NA,"S",50,127,"2432"
"2186",40,"11","Nov",9,1980,12,42,"control","DS","M",NA,NA,NA,NA,NA,"S",52,138,"1708"
"2187",40,"11","Nov",9,1980,9,61,"control","DS","M",NA,NA,NA,NA,NA,"S",48,135,"2356"
"2188",41,"12","Dec",15,1980,9,34,"control","DS","M",NA,NA,NA,NA,NA,"S",52,148,"2351"
"2189",41,"12","Dec",15,1980,1,53,"control","DS","M",NA,NA,NA,NA,NA,"S",53,154,"2595"
"2190",41,"12","Dec",15,1980,1,56,"control","DS","M",NA,NA,NA,NA,NA,"R",52,152,"2213"
"2191",41,"12","Dec",16,1980,12,23,"control","DS","M",NA,NA,NA,NA,NA,"S",52,137,"1708"
"2192",41,"12","Dec",16,1980,8,51,"control","DS","M",NA,NA,NA,NA,NA,"S",51,140,"2010"
"2193",42,"1","Jan",11,1981,18,42,"control","DS","M",NA,NA,NA,NA,NA,"S",48,130,"2002"
"2194",42,"1","Jan",12,1981,1,25,"control","DS","M",NA,NA,NA,NA,NA,"S",57,156,"2595"
"2195",43,"1","Jan",31,1981,18,22,"control","DS","M",NA,NA,NA,NA,NA,"S",46,139,"2002"
"2196",43,"1","Jan",31,1981,18,26,"control","DS","M",NA,NA,NA,NA,NA,"S",48,122,"2430"
"2197",43,"2","Feb",1,1981,8,11,"control","DS","M",NA,NA,NA,NA,NA,"S",50,135,"2010"
"2198",43,"2","Feb",1,1981,1,43,"control","DS","M",NA,NA,NA,NA,NA,"S",53,153,"2595"
"2199",43,"2","Feb",1,1981,1,65,"control","DS","M",NA,NA,NA,NA,NA,"R",52,153,"2213"
"2200",44,"3","Mar",8,1981,17,13,"control","DS","M",NA,NA,NA,NA,NA,"S",51,142,"4645"
"2201",44,"3","Mar",9,1981,12,42,"control","DS","M",NA,NA,NA,NA,NA,"S",52,136,"1708"
"2202",44,"3","Mar",9,1981,1,54,"control","DS","M",NA,NA,NA,NA,NA,"S",53,150,"2213"
"2203",45,"5","May",3,1981,18,27,"control","DS","M",NA,NA,NA,NA,NA,"S",47,120,"2430"
"2204",45,"5","May",4,1981,1,67,"control","DS","M",NA,NA,NA,NA,NA,"S",53,152,"2213"
"2205",46,"6","Jun",4,1981,6,33,"control","DS","M",NA,NA,NA,NA,NA,"S",53,143,"2426"
"2206",46,"6","Jun",4,1981,1,57,"control","DS","M",NA,NA,NA,NA,NA,"S",53,159,"2213"
"2207",46,"6","Jun",5,1981,18,15,"control","DS","M",NA,NA,NA,NA,NA,"S",47,119,"2430"
"2208",46,"6","Jun",5,1981,20,57,"control","DS","M",NA,NA,NA,NA,NA,"S",53,136,"2895"
"2209",47,"7","Jul",7,1981,17,44,"control","DS","M",NA,NA,NA,NA,NA,"S",51,141,"4645"
"2210",47,"7","Jul",8,1981,8,52,"control","DS","M",NA,NA,NA,NA,NA,"S",52,133,"2963"
"2211",48,"7","Jul",30,1981,14,24,"control","DS","M",NA,NA,NA,NA,NA,"M",49,114,"2818"
"2212",48,"7","Jul",30,1981,6,47,"control","DS","M",NA,NA,NA,NA,NA,"M",52,101,"3028"
"2213",48,"7","Jul",31,1981,22,26,"control","DS","M",NA,NA,NA,NA,NA,"M",48,125,"2871"
"2214",49,"8","Aug",30,1981,12,54,"control","DS","M",NA,NA,NA,NA,NA,"S",54,145,"2922"
"2215",49,"8","Aug",31,1981,14,41,"control","DS","M",NA,NA,NA,NA,NA,"S",50,126,"2818"
"2216",50,"9","Sept",29,1981,12,41,"control","DS","M",NA,NA,NA,NA,NA,"S",52,146,"2922"
"2217",51,"10","Oct",24,1981,12,11,"control","DS","M",NA,NA,NA,NA,NA,"S",53,155,"2922"
"2218",51,"10","Oct",25,1981,13,71,"control","DS","M",NA,NA,NA,NA,NA,"S",51,138,"3016"
"2219",51,"10","Oct",26,1981,1,67,"control","DS","M",NA,NA,NA,NA,NA,"S",53,165,"2213"
"2220",52,"11","Nov",22,1981,22,17,"control","DS","M",NA,NA,NA,NA,NA,"S",48,139,"2871"
"2221",52,"11","Nov",23,1981,8,51,"control","DS","M",NA,NA,NA,NA,NA,"S",53,142,"2963"
"2222",52,"11","Nov",23,1981,13,75,"control","DS","M",NA,NA,NA,NA,NA,"S",47,139,"3016"
"2223",52,"11","Nov",23,1981,8,77,"control","DS","M",NA,NA,NA,NA,NA,"R",52,137,"3191"
"2224",53,"12","Dec",30,1981,17,13,"control","DS","M",NA,NA,NA,NA,NA,"S",51,147,"4645"
"2225",53,"12","Dec",31,1981,8,47,"control","DS","M",NA,NA,NA,NA,NA,"S",49,135,"3191"
"2226",53,"1","Jan",1,1982,1,34,"control","DS","M",NA,NA,NA,NA,NA,"S",53,160,"2595"
"2227",54,"1","Jan",24,1982,22,35,"control","DS","M",NA,NA,NA,NA,NA,"S",51,133,"2871"
"2228",54,"1","Jan",25,1982,17,52,"control","DS","M",NA,NA,NA,NA,NA,"S",50,134,"4645"
"2229",55,"2","Feb",22,1982,17,11,"control","DS","M",NA,NA,NA,NA,NA,"S",49,150,"4645"
"2230",55,"2","Feb",22,1982,22,25,"control","DS","M",NA,NA,NA,NA,NA,"S",48,130,"2871"
"2231",55,"2","Feb",22,1982,22,53,"control","DS","M",NA,NA,NA,NA,NA,"S",51,154,"2869"
"2232",55,"2","Feb",24,1982,1,66,"control","DS","M",NA,NA,NA,NA,NA,"S",51,155,"2213"
"2233",56,"3","Mar",29,1982,2,26,"control","DS","M",NA,NA,NA,NA,NA,"S",52,151,"2595"
"2234",57,"4","Apr",28,1982,22,25,"control","DS","M",NA,NA,NA,NA,NA,"S",48,130,"2871"
"2235",57,"4","Apr",28,1982,13,61,"control","DS","M",NA,NA,NA,NA,NA,"S",49,110,"3016"
"2236",57,"4","Apr",29,1982,1,42,"control","DS","M",NA,NA,NA,NA,NA,"S",52,153,"2595"
"2237",57,"4","Apr",29,1982,1,65,"control","DS","M",NA,NA,NA,NA,NA,"S",52,153,"2213"
"2238",58,"5","May",22,1982,9,74,"control","DS","M",NA,NA,NA,NA,NA,"S",49,135,"2961"
"2239",59,"6","Jun",28,1982,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,127,"3195"
"2240",59,"6","Jun",28,1982,1,64,"control","DS","M",NA,NA,NA,NA,NA,"S",53,149,"3567"
"2241",59,"6","Jun",28,1982,9,75,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,126,"2961"
"2242",60,"7","Jul",25,1982,8,16,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,133,"3191"
"2243",60,"7","Jul",27,1982,22,36,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,134,"2871"
"2244",61,"8","Aug",16,1982,1,45,"control","DS","M",NA,NA,NA,NA,NA,"S",52,145,"2595"
"2245",61,"8","Aug",16,1982,1,57,"control","DS","M",NA,NA,NA,NA,NA,"S",52,152,"3567"
"2246",62,"9","Sept",19,1982,20,75,"control","DS","M",NA,NA,NA,NA,NA,"S",50,137,"3320"
"2247",63,"11","Nov",22,1982,1,15,"control","DS","M",NA,NA,NA,NA,NA,"S",51,155,"3855"
"2248",63,"11","Nov",22,1982,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",53,134,"3396"
"2249",63,"11","Nov",22,1982,4,27,"control","DS","M",NA,NA,NA,NA,NA,"S",51,133,"3115"
"2250",64,"1","Jan",12,1983,14,31,"control","DS","M",NA,NA,NA,NA,NA,"S",48,117,"3549"
"2251",64,"1","Jan",12,1983,17,46,"control","DS","M",NA,NA,NA,NA,NA,"S",50,130,"3944"
"2252",64,"1","Jan",13,1983,2,26,"control","DS","M",NA,NA,NA,NA,NA,"S",51,148,"3626"
"2253",65,"2","Feb",27,1983,22,37,"control","DS","M",NA,NA,NA,NA,NA,"S",48,122,"2871"
"2254",66,"3","Mar",14,1983,17,22,"control","DS","M",NA,NA,NA,NA,NA,"S",50,124,"3944"
"2255",67,"4","Apr",16,1983,22,27,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,122,"5044"
"2256",67,"4","Apr",16,1983,17,31,"control","DS","M",NA,NA,NA,NA,NA,"R",50,130,"3944"
"2257",67,"4","Apr",16,1983,14,32,"control","DS","M",NA,NA,NA,NA,NA,"S",49,120,"3549"
"2258",67,"4","Apr",16,1983,22,47,"control","DS","M",NA,NA,NA,NA,NA,"S",50,128,"5071"
"2259",67,"4","Apr",16,1983,18,75,"control","DS","M",NA,NA,NA,NA,NA,"S",48,125,"2430"
"2260",67,"4","Apr",17,1983,1,66,"control","DS","M",NA,NA,NA,NA,NA,"S",53,150,"3567"
"2261",68,"5","May",14,1983,20,74,"control","DS","M",NA,NA,NA,NA,NA,"S",51,133,"5072"
"2262",69,"6","Jun",17,1983,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",50,131,"3396"
"2263",69,"6","Jun",17,1983,22,24,"control","DS","M",NA,NA,NA,NA,NA,"S",49,122,"5044"
"2264",69,"6","Jun",17,1983,22,72,"control","DS","M",NA,NA,NA,NA,NA,"S",52,134,"3256"
"2265",69,"6","Jun",17,1983,20,75,"control","DS","M",NA,NA,NA,NA,NA,"S",52,132,"5072"
"2266",70,"7","Jul",16,1983,17,43,"control","DS","M",NA,NA,NA,NA,NA,"S",51,123,"3944"
"2267",70,"7","Jul",16,1983,13,56,"control","DS","M",NA,NA,NA,NA,NA,"R",50,131,"5275"
"2268",70,"7","Jul",16,1983,20,75,"control","DS","M",NA,NA,NA,NA,NA,"S",51,137,"5072"
"2269",71,"8","Aug",15,1983,18,13,"control","DS","M",NA,NA,NA,NA,NA,"S",49,132,"2430"
"2270",71,"8","Aug",15,1983,12,22,"control","DS","M",NA,NA,NA,NA,NA,"R",50,133,"3396"
"2271",71,"8","Aug",15,1983,14,23,"control","DS","M",NA,NA,NA,NA,NA,"S",47,123,"3549"
"2272",71,"8","Aug",15,1983,13,77,"control","DS","M",NA,NA,NA,NA,NA,"S",48,133,"-1"
"2273",71,"8","Aug",16,1983,4,27,"control","DS","M",NA,NA,NA,NA,NA,"S",51,131,"3115"
"2274",72,"9","Sept",10,1983,18,44,"control","DS","M",NA,NA,NA,NA,NA,"S",49,126,"2430"
"2275",72,"9","Sept",10,1983,20,75,"control","DS","M",NA,NA,NA,NA,NA,"S",51,146,"5194"
"2276",72,"9","Sept",11,1983,5,16,"spectabs","DS","M",NA,NA,NA,NA,NA,"S",49,118,"5039"
"2277",72,"9","Sept",11,1983,1,76,"control","DS","M",NA,NA,NA,NA,NA,"S",51,146,"3567"
"2278",73,"10","Oct",15,1983,18,11,"control","DS","M",NA,NA,NA,NA,NA,"S",48,130,"2430"
"2279",73,"10","Oct",15,1983,22,17,"control","DS","M",NA,NA,NA,NA,NA,"S",48,135,"5044"
"2280",73,"10","Oct",16,1983,12,21,"control","DS","M",NA,NA,NA,NA,NA,"R",53,136,"3396"
"2281",73,"10","Oct",16,1983,9,65,"control","DS","M",NA,NA,NA,NA,NA,"S",52,134,"5341"
"2282",73,"10","Oct",16,1983,1,75,"control","DS","M",NA,NA,NA,NA,NA,"R",52,151,"3567"
"2283",74,"11","Nov",12,1983,13,17,"control","DS","M",NA,NA,NA,NA,NA,"R",50,118,"5014"
"2284",74,"11","Nov",12,1983,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",52,132,"3396"
"2285",75,"12","Dec",8,1983,14,33,"control","DS","M",NA,NA,NA,NA,NA,"S",52,124,"5328"
"2286",75,"12","Dec",9,1983,11,12,"control","DS","M",NA,NA,NA,NA,NA,"S",50,129,"5290"
"2287",75,"12","Dec",9,1983,4,31,"control","DS","M",NA,NA,NA,NA,NA,"R",52,123,"3115"
"2288",75,"12","Dec",9,1983,9,61,"control","DS","M",NA,NA,NA,NA,NA,"S",50,115,"5337"
"2289",75,"12","Dec",9,1983,6,71,"control","DS","M",NA,NA,NA,NA,NA,"S",54,135,"3344"
"2290",76,"2","Feb",4,1984,20,56,"control","DS","M",NA,NA,NA,NA,NA,"S",50,140,"5194"
"2291",76,"2","Feb",5,1984,11,12,"control","DS","M",NA,NA,NA,NA,NA,"S",51,122,"5290"
"2292",77,"3","Mar",12,1984,22,37,"control","DS","M",NA,NA,NA,NA,NA,"S",49,133,"5840"
"2293",77,"3","Mar",13,1984,4,47,"control","DS","M",NA,NA,NA,NA,NA,"S",52,138,"3115"
"2294",78,"4","Apr",9,1984,22,25,"control","DS","M",NA,NA,NA,NA,NA,"S",50,130,"5044"
"2295",78,"4","Apr",9,1984,20,57,"control","DS","M",NA,NA,NA,NA,NA,"S",52,138,"5811"
"2296",78,"4","Apr",10,1984,4,36,"control","DS","M",NA,NA,NA,NA,NA,"S",NA,127,"3115"
"2297",78,"4","Apr",10,1984,9,67,"control","DS","M",NA,NA,NA,NA,NA,"S",52,128,"5341"
"2298",83,"9","Sept",30,1984,8,77,"control","DS","M",NA,NA,NA,NA,NA,"S",47,130,"5536"
"2299",87,"2","Feb",17,1985,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",50,150,"5736"
"2300",89,"5","May",24,1985,1,64,"control","DS","M",NA,NA,NA,NA,NA,"S",52,157,"6022"
"2301",90,"6","Jun",16,1985,1,65,"control","DS","M",NA,NA,NA,NA,NA,"S",53,157,"6022"
"2302",91,"7","Jul",24,1985,1,65,"control","DS","M",NA,NA,NA,NA,NA,"S",54,166,"6022"
"2303",95,"11","Nov",17,1985,13,35,"control","DS","M",NA,NA,NA,NA,NA,"S",50,132,"6333"
"2304",95,"11","Nov",17,1985,4,61,"control","DS","M",NA,NA,NA,NA,NA,"S",49,130,"6032"
"2305",96,"12","Dec",8,1985,4,53,"control","DS","M",NA,NA,NA,NA,NA,"S",45,129,"6032"
"2306",97,"3","Mar",8,1986,6,16,"control","DS","M",NA,NA,NA,NA,NA,"R",51,130,"5947"
"2307",97,"3","Mar",9,1986,4,52,"control","DS","M",NA,NA,NA,NA,NA,"S",47,130,"6032"
"2308",98,"4","Apr",12,1986,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",48,120,"6735"
"2309",98,"4","Apr",13,1986,11,13,"control","DS","M",NA,NA,NA,NA,NA,"S",52,120,"6665"
"2310",99,"5","May",11,1986,1,56,"control","DS","M",NA,NA,NA,NA,NA,"S",52,152,"6022"
"2311",100,"6","Jun",4,1986,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",49,119,"5735"
"2312",100,"6","Jun",5,1986,1,47,"control","DS","M",NA,NA,NA,NA,NA,"S",49,129,"6032"
"2313",101,"7","Jul",3,1986,12,21,"control","DS","M",NA,NA,NA,NA,NA,"S",47,123,"6735"
"2314",101,"7","Jul",4,1986,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",54,157,"6436"
"2315",101,"7","Jul",4,1986,1,75,"control","DS","M",NA,NA,NA,NA,NA,"S",53,156,"6022"
"2316",102,"8","Aug",10,1986,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",54,150,"6436"
"2317",103,"9","Sept",7,1986,11,12,"control","DS","M",NA,NA,NA,NA,NA,"S",50,137,"6665"
"2318",103,"9","Sept",7,1986,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",54,151,"6436"
"2319",103,"9","Sept",7,1986,2,32,"control","DS","M",NA,NA,NA,NA,NA,"S",52,128,"6897"
"2320",103,"9","Sept",7,1986,1,46,"control","DS","M",NA,NA,NA,NA,NA,"S",47,118,"6032"
"2321",105,"11","Nov",16,1986,2,24,"control","DS","M",NA,NA,NA,NA,NA,"S",52,133,"6897"
"2322",105,"11","Nov",16,1986,9,42,"control","DS","M",NA,NA,NA,NA,NA,"S",49,144,"6822"
"2323",105,"11","Nov",16,1986,1,46,"control","DS","M",NA,NA,NA,NA,NA,"S",50,135,"6032"
"2324",106,"12","Dec",15,1986,9,23,"control","DS","M",NA,NA,NA,NA,NA,"S",49,165,"6822"
"2325",107,"2","Feb",1,1987,8,25,"control","DS","M",NA,NA,NA,NA,NA,"S",54,148,"6436"
"2326",107,"2","Feb",1,1987,1,46,"control","DS","M",NA,NA,NA,NA,NA,"R",48,126,"6032"
"2327",108,"3","Mar",2,1987,9,24,"control","DS","M",NA,NA,NA,NA,NA,"S",50,129,"6822"
"2328",108,"3","Mar",2,1987,1,46,"control","DS","M",NA,NA,NA,NA,NA,"S",50,128,"6032"
"2329",109,"4","Apr",6,1987,2,25,"control","DS","M",NA,NA,NA,NA,NA,"S",53,137,"6897"
"2330",109,"4","Apr",6,1987,4,47,"control","DS","M",NA,NA,NA,NA,NA,"S",50,142,"6995"
"2331",110,"4","Apr",25,1987,22,72,"control","DS","M",NA,NA,NA,NA,NA,"S",51,126,"9762"
"2332",110,"4","Apr",26,1987,8,25,"control","DS","M",NA,NA,NA,NA,NA,"R",53,157,"6436"
"2333",111,"5","May",29,1987,2,34,"control","DS","M",NA,NA,NA,NA,NA,"S",49,139,"6897"
